Top 50 nodes with the most out-degrees and author details:
Node: Islamism, Out-Degree: 606, Creation Date: 2001-11-01T23:48:04Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Vladimir Lenin, Out-Degree: 0, Creation Date: 2001-07-27T06:04:50Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Palestinian Brazilian, Out-Degree: 0, Creation Date: 2008-05-17T23:10:37Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Handloading, Out-Degree: 0, Creation Date: 2002-02-25T15:43:11Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Contact list, Out-Degree: 0, Creation Date: 2004-12-28T23:34:57Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: TechCrunch, Out-Degree: 0, Creation Date: 2006-05-11T15:57:55Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Jimi Hendrix, Out-Degree: 0, Creation Date: 2001-10-23T04:08:06Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: List of diplomatic missions in Palestine, Out-Degree: 0, Creation Date: 2007-10-20T18:05:14Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: City of Blinding Lights, Out-Degree: 0, Creation Date: 2005-10-22T12:58:30Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Palestinians in Pakistan, Out-Degree: 0, Creation Date: 2010-01-14T18:09:54Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: One (U2 song), Out-Degree: 0, Creation Date: 2005-07-14T16:26:55Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Al-Awda (guerrilla organization), Out-Degree: 0, Creation Date: 2004-09-07T19:26:08Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Yoav Gallant, Out-Degree: 0, Creation Date: 2006-05-20T11:24:57Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Division (business), Out-Degree: 0, Creation Date: 2006-09-29T16:09:44Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Occupation of the Gaza Strip by the United Arab Republic, Out-Degree: 0, Creation Date: 2004-09-24T11:34:55Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Constitution of Hungary, Out-Degree: 0, Creation Date: 2006-06-17T18:58:13Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: South Korea, Out-Degree: 0, Creation Date: 2001-07-08T04:08:23Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Syncopation, Out-Degree: 0, Creation Date: 2002-02-25T15:43:11Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Judaea (Roman province), Out-Degree: 0, Creation Date: 2005-05-20T12:14:17Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Islamic state, Out-Degree: 0, Creation Date: 2005-09-09T11:33:58Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: North Yemen civil war, Out-Degree: 0, Creation Date: 2005-12-02T05:43:34Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Britney Spears, Out-Degree: 0, Creation Date: 2001-10-04T05:56:22Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Rice, Out-Degree: 0, Creation Date: 2002-02-25T15:43:11Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Agriculture in the State of Palestine, Out-Degree: 0, Creation Date: 2014-07-03T22:53:57Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Mansur al-Atrash, Out-Degree: 0, Creation Date: 2012-08-25T09:33:01Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Ronen Bergman, Out-Degree: 0, Creation Date: 2007-11-01T12:42:26Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
